Country,Men,Women,Average,Age Gap,Age Ratio,Year
Australia,33.2,30.8,32.0,2.4,1.08,2023
Fiji,29.3,25.7,27.5,3.6,1.14,2019
Kiribati,23.6,20.1,21.9,3.5,1.17,2009
Marshall Islands,27.1,25.6,26.4,1.5,1.06,2019
Micronesia,30.5,28.5,29.5,2,1.07,2019
Nauru,23.2,21.6,22.4,1.6,1.07,2009
New Zealand,31.6,30.4,31.0,1.2,1.04,2020
Palau,31.9,29.6,30.8,2.3,1.08,2009
Papua New Guinea,25.0,21.4,23.2,3.6,1.17,2006
Samoa,30.7,26.1,28.4,4.6,1.18,2018
Solomon Islands,25.6,20.3,23.0,5.3,1.26,2007
Tonga,25.0,23.6,24.3,1.4,1.06,2012
Tuvalu,28.2,23.3,25.8,4.9,1.21,2019
Vanuatu,24.4,20.8,22.6,3.6,1.17,2013
